Unnamed: 0,review,tokens
1340,정말 가볍고 색 정말 예뻐요ㅠㅠ 배송도 빠르고 만족합니다,"['정말', '가볍다', '색', '정말', '예쁘다', '배송', '빠르다', '만족하다']"
1341,일단 디자인이 맘에 들고 사용하기도 편리한 거 같아요 한 가지 아쉬운 점은 손을 넣어 세척하기는 불편한 점입니다 ㅜ 세척솔 하나 사야겠어요,"['디자인', '맘', '들다', '사용', '편리하다', '가지', '아쉽다', '점', '손', '넣다', '세척', '불편하다', '점', '세척', '솔', '사다']"
1342,선물을 했는데 너무 마음에 들어 해서 기분 좋네요 색감도 고급스럽고 제 역할을 잘하는 텀블러에요 크기도 작지도 크지도 않아 부담이 없어요,"['선물', '마음', '들다', '기분', '좋다', '색감', '고급스럽다', '역할', '텀블러', '크기', '작', '지도', '크다', '않다', '부담', '없다']"
1343,보온력이 좋아요 디자인도 깔끔하고 손잡이가 있어 출근 시 편리해요 볼수록 맘에 듭니다,"['보온', '좋다', '디자인', '깔끔하다', '손잡이', '출근', '시', '편리하다', '보다', '맘', '듭니']"
1344,초등학생 여러 텀블러 들고 다니다가 이거로 정착했어요 너무 무겁지 않고 예쁘고 좋아요,"['초등학생', '여러', '텀블러', '들다', '다니다', '정착', '무겁다', '않다', '예쁘다', '좋다']"
1345,아직 사용해 보진 않았는데 디자인과 컬러는 너무 맘에 들어요 ㅋㅋ 손잡이 있는 텀블러 고민하다가 디자인 때문에 킨토를 선택했습니다 잘 사용할게 요배 송도 너무 빨라서 좋았습니다,"['사용', '보다', '않다', '디자인', '컬러', '맘', '들다', '손잡이', '텀블러', '고민', '디자인', '때문', '킨토', '선택', '자다', '사용', '배', '송도', '빨', '좋다']"
1346,심플한 디자인 너무 좋고요 들고 다닐 수 있는 손잡이 맘에 듭니다 보온성이 일단 최고입니다,"['심플', '디자인', '좋다', '들다', '다니다', '손잡이', '맘', '듭니', '보온', '최고']"
1347,배송 빨라서 좋았고요 오렌지 색상도 쨍하니 이쁘네요 몇 개째 구입인지ㅎ그 정도로 이쁘고 실용적인 기능 좋은 텀블러입니다,"['배송', '빨', '좋다', '오렌지', '색상', '쨍하', '이쁘다', '구입', '지그', '정도', '이쁘다', '실용', '기능', '좋다', '텀블러']"
1348,손잡이 있는 텀블러가 필요했는데 하나같이 색감 예쁘고 다양해서 구매했어요 실물이 훨씬 귀엽고 만족스러워요,"['손잡이', '텀블러', '필요하다', '색감', '예쁘다', '다양하다', '구매', '실물', '귀엽다', '만족스럽다']"
1349,너무 좋아요 적극 추천합니다 배송도 빨라요,"['좋다', '적극', '추천', '배송', '빨르다']"
1350,친구 생일선물로 보내줬어요 너무 이쁘다고 하네요 만족스러워해요,"['친구', '생일', '선물', '보', '내주다', '이쁘다', '만족스럽다']"
1351,뚜껑 있는 보온력 좋은 텀블러 찾다가 구매했어요 디자인도 마음에 들고 요즘 매일 들고 다녀요,"['뚜껑', '보온', '좋다', '텀블러', '찾다', '구매', '디자인', '마음', '들다', '요즘', '매일', '들다', '다니다']"
1352,원래 쓰던 베이지 색상 텀블러가 망가져서 새로 구매해서 쓰고 있어요  근데 아랫부분 코팅이라든지  뚜껑을 닫았을 때  삐뚤게 닫힌다든지 하는 세세함이 지난번에 산 텀블러보다는 떨어져 요,"['원래', '쓰다', '베이지', '색상', '텀블러', '망가지다', '새롭다', '구매', '쓰다', '아랫', '부분', '코팅', '뚜껑', '닫다', '삐뚤다', '닫히다', '세다', '함', '지난번', '산', '텀블러', '떨어지다']"
