Unnamed: 0,date,review,rating,tokens
23,25.03.20.,전체적으로 괜찮아요,5,"['전체', '괜찮다']"
24,25.03.15.,잘 받았습니다. 무난하게 쓰기좋네요,5,"['자다', '받다', '무난', '쓰기', '좋다']"
25,25.03.14.,배송이 빨라서 좋아요,5,"['배송', '빨', '좋다']"
27,25.03.11.,화면보다 이쁘고 좋아요,5,"['화면', '이쁘다', '좋다']"
29,25.03.08.,아아 넣었는데 오래가요~~~!!!,5,"['아아', '넣다']"
30,25.02.03.,"사이즈도 크고 저렴해서
만족합니다",5,"['사이즈', '크다', '저렴하다', '만족하다']"
31,25.01.18.,"용량이며 손잡이 디자인 다 마음에 들어요
저렴하게 잘산거같아요",5,"['용량', '손잡이', '디자인', '마음', '들다', '저렴하다', '잘살다']"
32,25.01.17.,"배송도 빠르게 왔어요!
내구성이라든가 아주 좋네요",5,"['배송', '빠르다', '오다', '구성', '아주', '좋다']"
33,25.01.15.,"뚜껑을 돌려서 여는 점이 다소 불편합니다만
품질면이나 가격면에 이 가격에? 탄복할만합니다.",5,"['뚜껑', '돌리다', '점', '불편하다', '품다', '가격', '면', '가격', '탄복']"
34,25.03.09.,저렴저렴~그냥그냥그냥~,4,"['저렴', '저렴', '그냥', '그냥', '그냥']"
35,24.12.15.,저렴한 가격에 좋은 텀블러를 구매한 것 같습니다 물새지 않는 텀블러를 찾고 있었는데 밀폐가 돼서 마음에 들었고 손잡이가 있는 것도 좋네요 용량이 조금 더 크면 좋았겠지만 가성비가 좋아 만족합니다,5,"['저렴하다', '가격', '좋다', '텀블러', '구매', '물새', '않다', '텀블러', '찾다', '밀폐', '마음', '들다', '손잡이', '좋다', '용량', '더', '크다', '좋다', '가성', '비', '좋다', '만족하다']"
36,25.01.15.,뚜껑에서 미세하게 플라스틱 냄새가 났는데 그거 빼고는 다 좋았어요,5,"['뚜껑', '미세하다', '플라스틱', '냄새', '그거', '빼다', '좋다']"
37,24.12.18.,"손잡이 텀블러가 필요해서 샀어요
밀폐력은 하나는 괜찮은데 하나는 아무리 꽉 잠궈도 물이 새네요ㅠㅠ뚜껑 복불복인가",5,"['손잡이', '텀블러', '필요하다', '사다', '밀폐', '괜찮다', '꽉', '잠그다', '물이', '새다', '뚜껑', '복불복']"
38,25.01.11.,음료의 냉온 오래 지속되어 좋았고 가격도 합리적이라 마음에듭니다 많이 파세요,5,"['음료', '냉온', '지속', '좋다', '가격', '합리', '마음', '듭니', '파다']"
39,24.12.07.,완전 밀폐되는 텀블러를 찾고있었는데 딱이에요 마시는 부분 뚜껑 여는게 좀 빡빡하긴한데 밀폐가 잘된다는점에선 호감이네요,5,"['완전', '밀폐', '텀블러', '찾다', '딱이다', '마시다', '부분', '뚜껑', '빡빡', '밀폐', '점', '호감']"
40,24.10.13.,몇년전에 구입 했던 빈플러스 텀플러인데 얼음이 잘 안 녹아서 성능 좋은 텀블러라 생각하며 사용하다가 오래 쓰기도 해서 이번에 주문하면서 남편 운동할때 쓸 손잡이 있는것도 같이 구입했는데 뚜껑이 잘 안 맞아서 불편해 하더라고요. 혹시나 뚜껑만 판매하는지 판매자님께 문의 드렸더니 바로 새로 보내주셔서 잘 사용하고 있어요.,5,"['년전', '구입', '플러스', '텀플러', '얼음', '자다', '안', '녹다', '성능', '좋다', '텀블러', '생각', '사용', '쓰기', '주문', '남편', '운동', '쓸다', '손잡이', '구입', '뚜껑', '자다', '안', '맞다', '불편하다', '뚜껑', '판매', '판매', '문의', '드리다', '새롭다', '보내다', '자다', '사용']"
41,24.10.31.,"씻어만 났어요
텀블러는 이뻐요
곧 쓸예정입니다 ^^",5,"['씻다', '텀블러', '이쁘다', '쓸다', '예정']"
42,24.11.12.,만족도 최상입니다. 저렴한 가격에 사용하기도 편하고 아주 마음에 쏙 들어요!!,5,"['만족도', '최상', '저렴하다', '가격', '사용', '편하다', '아주', '마음', '쏙', '들다']"
